Station ID,City,State,Start Date,End Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
14895,AKRON,OH,1948,2023,-25,-13,-3,10,24,32,43,41,32,20,-1,-16,-25
93814,CINCINNATI,OH,1948,2023,-25,-15,-11,15,27,39,47,43,31,16,0,-20,-25
14820,CLEVELAND,OH,1938,2023,-20,-17,-5,10,25,31,41,38,32,19,3,-15,-20
14821,COLUMBUS,OH,1948,2023,-22,-13,-6,14,25,35,43,39,31,17,-4,-17,-22
93815,DAYTON,OH,1948,2023,-25,-16,-7,15,26,40,44,40,32,21,-2,-20,-25
14891,MANSFIELD,OH,1948,2023,-22,-11,-6,8,25,37,43,40,33,20,2,-17,-22
94830,TOLEDO,OH,1955,2023,-20,-19,-6,8,25,32,40,34,26,15,2,-19,-20
14852,YOUNGSTOWN,OH,1934,2023,-22,-16,-10,11,24,30,40,32,27,20,1,-12,-22
13967,OKLAHOMA CITY,OK,1948,2023,-4,-14,1,20,32,47,53,50,36,16,11,-8,-14
13968,TULSA,OK,1938,2023,-6,-13,-3,22,35,49,51,50,35,18,10,-8,-13
94224,ASTORIA,OR,1953,2023,11,9,22,29,30,37,39,39,33,26,15,6,6
94185,BURNS,OR,1973,2023,-27,-28,-14,10,13,21,25,22,17,-7,-15,-30,-30
24221,EUGENE,OR,1938,2023,-4,-3,20,27,28,32,38,38,31,17,12,-12,-12
24225,MEDFORD,OR,1928,2023,-3,6,16,21,28,31,38,39,29,18,10,-6,-6
24155,PENDLETON,OR,1928,2023,-20,-18,1,18,25,35,38,40,29,11,-12,-19,-20
24229,PORTLAND,OR,1938,2023,-2,-3,19,29,29,39,43,44,34,26,13,6,-3
24232,SALEM,OR,1893,2023,-10,-4,12,23,25,32,35,30,26,19,9,-12,-12
24235,SEXTON SUMMIT,OR,1948,2023,-2,3,15,19,22,27,36,38,30,20,11,-4,-4
14737,ALLENTOWN,PA,1948,2023,-15,-8,-1,16,29,39,46,41,31,21,11,-8,-15
14860,ERIE,PA,1926,2023,-18,-18,-9,12,26,32,44,37,33,24,6,-6,-18
14711,MIDDLETOWN/HARRISBURG,PA,1941,2023,-22,-6,-1,24,30,42,46,44,33,26,15,-9,-22
13739,PHILADELPHIA,PA,1940,2023,-7,-4,7,19,28,44,51,44,35,25,15,1,-7
94823,PITTSBURGH,PA,1948,2023,-22,-12,-5,14,26,34,42,39,31,16,-1,-12,-22
14777,AVOCA,PA,1949,2023,-21,-16,-4,14,27,34,43,38,29,19,5,-9,-21
14778,WILLIAMSPORT,PA,1948,2023,-20,-13,-2,15,28,36,43,38,30,20,8,-15,-20
14765,PROVIDENCE,RI,1948,2023,-13,-9,1,14,29,41,48,40,32,20,6,-10,-13
13782,CHARLESTON,SC,1893,2023,10,7,22,36,45,49,61,59,50,37,17,12,7
13883,COLUMBIA,SC,1948,2023,-1,5,4,26,34,44,54,53,40,23,12,4,-1
3870,GREENVILLE-SPARTANBURG,SC,1962,2023,-6,8,11,24,31,40,54,52,36,25,12,5,-6
